t,y,z,rz,yd,zd,rzd,ydd,zdd,rzdd
0,0,1.6,0,0,0,0,0,0,0,
0.1,0,1.59486,0,0,-0.1458,0,0,-2.592,0,
0.2,0,1.56525,0,0,-0.4608,0,0,-3.456,0,
0.3,0,1.50215,0,0,-0.7938,0,0,-3.024,0,
0.4,0,1.40954,0,0,-1.0368,0,0,-1.728,0,
0.5,0,1.3,0,0,-1.125,0,0,-3.55271e-15,0,
0.6,0,1.19046,0,0,-1.0368,0,0,1.728,0,
0.7,0,1.09785,0,0,-0.7938,0,0,3.024,0,
0.8,0,1.03475,0,0,-0.4608,0,0,3.456,0,
0.9,0,1.00514,0,0,-0.1458,0,0,2.592,0,
1,0,1,0,0,-7.10543e-15,0,0,-1.42109e-14,0,
1.1,0,1,0.013446,0,0,0.381704,0,0,6.78584,
1.2,0,1,0.0909805,0,0,1.20637,0,0,9.04779,
1.3,0,1,0.256165,0,0,2.07816,0,0,7.91681,
1.4,0,1,0.498634,0,0,2.71434,0,0,4.52389,
1.5,0,1,0.785398,0,0,2.94524,0,0,-6.82121e-13,
1.6,0,1,1.07216,0,0,2.71434,0,0,-4.52389,
1.7,0,1,1.31463,0,0,2.07816,0,0,-7.91681,
1.8,0,1,1.47982,0,0,1.20637,0,0,-9.04779,
1.9,0,1,1.55735,0,0,0.381704,0,0,-6.78584,
2,0,1,1.5708,0,0,0,0,0,0,
2.1,0,1,1.5708,0,0,0,0,0,0,
2.2,0,1,1.5708,0,0,0,0,0,0,
2.3,0,1,1.5708,0,0,0,0,0,0,
2.4,0,1,1.5708,0,0,0,0,0,0,
2.5,0,1,1.5708,0,0,0,0,0,0,
2.6,0,1,1.5708,0,0,0,0,0,0,
2.7,0,1,1.5708,0,0,0,0,0,0,
2.8,0,1,1.5708,0,0,0,0,0,0,
2.9,0,1,1.5708,0,0,0,0,0,0,
3,9.09495e-13,1,1.5708,-6.82121e-13,0,0,2.04636e-12,0,0,
3.1,0.00428,1,1.5708,0.1215,0,0,2.16,0,0,
3.2,0.02896,1,1.5708,0.384,0,0,2.88,0,0,
3.3,0.08154,1,1.5708,0.6615,0,0,2.52,0,0,
3.4,0.15872,1,1.5708,0.864,0,0,1.44,0,0,
3.5,0.25,1,1.5708,0.9375,0,0,9.09495e-13,0,0,
3.6,0.34128,1,1.5708,0.864,0,0,-1.44,0,0,
3.7,0.41846,1,1.5708,0.6615,0,0,-2.52,0,0,
3.8,0.47104,1,1.5708,0.384,0,0,-2.88,0,0,
3.9,0.49572,1,1.5708,0.1215,0,0,-2.16,0,0,
4,0.5,1,1.5708,0,8.18545e-12,-9.09495e-12,0,2.72848e-12,-7.27596e-12,
4.1,0.5,1.00514,1.55735,0,0.1458,-0.381704,0,2.592,-6.78584,
4.2,0.5,1.03475,1.47982,0,0.4608,-1.20637,0,3.456,-9.04779,
4.3,0.5,1.09785,1.31463,0,0.7938,-2.07816,0,3.024,-7.91681,
4.4,0.5,1.19046,1.07216,0,1.0368,-2.71434,0,1.728,-4.52389,
4.5,0.5,1.3,0.785398,0,1.125,-2.94524,0,3.63798e-12,-7.27596e-12,
4.6,0.5,1.40954,0.498634,0,1.0368,-2.71434,0,-1.728,4.52389,
4.7,0.5,1.50215,0.256165,0,0.7938,-2.07816,0,-3.024,7.91681,
4.8,0.5,1.56525,0.0909805,0,0.4608,-1.20637,0,-3.456,9.04779,
4.9,0.5,1.59486,0.013446,0,0.1458,-0.381704,0,-2.592,6.78584,
5,0.5,1.6,-1.81899e-11,0,1.81899e-11,1.81899e-11,0,3.63798e-12,-1.45519e-11,
5.1,0.499925,1.6,0,-0.00222803,0,0,-0.043418,0,0,
5.2,0.499421,1.6,0,-0.00846094,0,0,-0.0801563,0,0,
5.3,0.498121,1.6,0,-0.0180483,0,0,-0.110566,0,0,
5.4,0.49572,1.6,0,-0.030375,0,0,-0.135,0,0,
5.5,0.491974,1.6,0,-0.0448608,0,0,-0.153809,0,0,
5.6,0.486694,1.6,0,-0.0609609,0,0,-0.167344,0,0,
5.7,0.479745,1.6,0,-0.0781655,0,0,-0.175957,0,0,
5.8,0.47104,1.6,0,-0.096,0,0,-0.18,0,0,
5.9,0.460539,1.6,0,-0.114025,0,0,-0.179824,0,0,
6,0.448242,1.6,0,-0.131836,0,0,-0.175781,0,0,
6.1,0.434191,1.6,0,-0.149064,0,0,-0.168223,0,0,
6.2,0.41846,1.6,0,-0.165375,0,0,-0.1575,0,0,
6.3,0.401156,1.6,0,-0.18047,0,0,-0.143965,0,0,
6.4,0.382415,1.6,0,-0.194086,0,0,-0.127969,0,0,
6.5,0.362396,1.6,0,-0.205994,0,0,-0.109863,0,0,
6.6,0.34128,1.6,0,-0.216,0,0,-0.09,0,0,
6.7,0.319265,1.6,0,-0.223947,0,0,-0.0687305,0,0,
6.8,0.296563,1.6,0,-0.229711,0,0,-0.0464063,0,0,
6.9,0.273398,1.6,0,-0.233205,0,0,-0.0233789,0,0,
7,0.25,1.6,0,-0.234375,0,0,0,0,0,
7.1,0.226602,1.6,0,-0.233205,0,0,0.0233789,0,0,
7.2,0.203437,1.6,0,-0.229711,0,0,0.0464062,0,0,
7.3,0.180735,1.6,0,-0.223947,0,0,0.0687305,0,0,
7.4,0.15872,1.6,0,-0.216,0,0,0.09,0,0,
7.5,0.137604,1.6,0,-0.205994,0,0,0.109863,0,0,
7.6,0.117585,1.6,0,-0.194086,0,0,0.127969,0,0,
7.7,0.0988435,1.6,0,-0.18047,0,0,0.143965,0,0,
7.8,0.08154,1.6,0,-0.165375,0,0,0.1575,0,0,
7.9,0.0658091,1.6,0,-0.149064,0,0,0.168223,0,0,
8,0.0517578,1.6,0,-0.131836,0,0,0.175781,0,0,
8.1,0.0394614,1.6,0,-0.114025,0,0,0.179824,0,0,
8.2,0.02896,1.6,0,-0.096,0,0,0.18,0,0,
8.3,0.0202551,1.6,0,-0.0781655,0,0,0.175957,0,0,
8.4,0.0133059,1.6,0,-0.0609609,0,0,0.167344,0,0,
8.5,0.00802612,1.6,0,-0.0448608,0,0,0.153809,0,0,
8.6,0.00428,1.6,0,-0.030375,0,0,0.135,0,0,
8.7,0.00187919,1.6,0,-0.0180483,0,0,0.110566,0,0,
8.8,0.000579062,1.6,0,-0.00846094,0,0,0.0801563,0,0,
8.9,7.52246e-05,1.6,0,-0.00222803,0,0,0.043418,0,0,
9,-5.68434e-14,1.6,0,0,0,0,0,0,0,
